Rank,Title,Citations,Year,URL,Description
21,Method and system for machine-learning based optimization and customization of document similarities calculation,56,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:O3NaXMp0MMsC,"(54) METHOD AND SYSTEM FOR Publication Classification MACHINE-LEARNING BASED(51) Int. Cl OPTIMIZATION AND CUSTOMIZATION OF Go, F i 5/18(2006.01)"
22,Characterizing user behavior and information propagation on a social multimedia network,47,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:fPk4N6BV_jEC,"An increasing portion of modern socializing takes place via online social networks. Members of these communities often play distinct roles that can be deduced from observations of users' online activities. One such activity is the sharing of multimedia, the popularity of which can vary dramatically. Here we discuss our initial analysis of anonymized, scraped data from consenting Facebook users, together with associated demographic and psychological profiles. We present five clusters of users with common observed online behaviors, where these users also show correlated profile characteristics. Finally, we identify some common properties of the most popular multimedia content."
23,Method and system for thwarting insider attacks through informational network analysis,46,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:8AbLer7MMksC,"One embodiment of the present invention provides a sys tem for detecting insider attacks in an organization. During operation, the system collects data describing user activities. The system extracts information from the data that includes user information and user communications. Then, the system generates a topic-specific graph based on the extracted infor mation. The system analyzes a structure of the graph to deter mine if one or more rules have been violated. The system may determine that a rule associated with the graph has been violated, and signal an alarm in response to detecting the rule violation.In a variation on this embodiment, the system further detects an anomalous pattern based on the topic-specific graph, and signals the alarm in response to detecting the anomalous pattern. In a further variation, detecting an anomalous pattern fur ther includes training a model to detect normal patterns; and …"
24,Automatic acquisition of context models and its application to video surveillance,46,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:Y0pCki6q_DkC,"This paper addresses the problem of automatically acquiring context models from data. Context and human behavior are represented using a state model, called situation model. This model consists of different layers referring to entities, filters, roles, relations, situation and situation relationship. We propose a framework for the automatic acquisition of these different layers. In particular, this paper proposes a novel generic situation acquisition algorithm. The algorithm is also successfully applied to a video surveillance task and is evaluated by the public CAVIAR video database. The results are encouraging."
25,Multi-source fusion for anomaly detection: using across-domain and across-time peer-group consistency checks.,45,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:p2g8aNsByqUC,"We present robust anomaly detection in multi-dimensional data. We describe information fusion across multiple levels in a layered architecture to ensure accurate and reliable detection of anomalies from heterogeneous data. We consider the problem of detecting anomalous entities (eg, people) from observation data (eg, activities) gathered from multiple contexts or information sources over time. We propose two anomaly detection methods. The first method seeks to identify anomalous behavior that blends within each information source but is inconsistent across sources. A supervised learning approach detects the blend-in anomalies manifested as across-information source inconsistencies. The second method identifies unusual changes in behavior over time using a Markov model approach. Finally, we present a fusion approach that integrates evidence from both methods to improve the accuracy and robustness of the anomaly detection system. We illustrate the performance of our proposed approaches on an insider threat detection problem using a real-world work-practice data set."
26,Supervised learning of an abstract context model for an intelligent environment,44,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:2osOgNQ5qMEC,"This paper addresses the problem of supervised learning in intelligent environments. An intelligent environment perceives user activity and offers a number of services according to the perceived information about the user. An abstract context model in the form of a situation network is used to represent the intelligent environment, its occupants and their activities. The context model consists of situations, roles played by entities and relations between these entities. The objective is to adapt the system services, which are associated to the situations of the model, to the changing needs of the user. For this, a supervisor gives feedback by correcting system services that are found to be inappropriate to user needs. The situation network can be developed by exchanging the system service-situation association, by splitting the situation, or by learning new roles. The situation split is interpreted as a replacement of the former …"
27,Method and system for creating an intelligent digital self representation,42,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:HE397vMXCloC,"One embodiment of the present invention provides a system for advising a user. During operation, the system generates a set of rules for a digital representation of the user. Next, the system obtains data indicating the user's digital trace, wherein the digital trace is a data trail associated with the users interactions in a digital or physical environment. The system then applies the rules to the obtained data to generate warnings and/or recommendations. The system Subsequently communicates the warnings and/or recommendations to the"
28,Coscribe: Using paper for collaborative annotations in lectures,41,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:IjCSPb-OGe4C,"In a study of notetaking in university courses, we found that the large majority of students prefer the paper medium to the computer for taking notes and making annotations. Based on this finding, we developed CoScribe, a system which supports students in making collaborative handwritten annotations on printed lecture slides. It includes mechanisms for the paper-based sharing and semantic tagging of annotations and slides. Moreover, we present a novel visualization of shared handwritten annotations providing an integrated access to annotations from all learners. A user study indicates that the system efficiently supports student annotation and can be easily integrated into current annotation practice."
29,Bringing Web 2.0 to web lectures,40,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:XiSMed-E-HIC,"Purpose At many universities, web lectures have become an integral part of the e‐learning portfolio over the last few years. While many aspects of the technology involved, like automatic recording techniques or innovative interfaces for replay, have evolved at a rapid pace, web lecturing has remained independent of other important developments such as Web 2.0. The aim of this paper is to exemplify and discuss the benefits web lecturing can gain from a Web 2.0 perspective. Design/methodology/approach The paper describes an implementation of three Web 2.0 features for the virtPresenter web lecture interface. These are time‐based social footprints, a mechanism for linking to user created bookmarks in a web lecture from external Web 2.0 applications and a special web lecture player that enables users to embed their own web lecture bookmarks in wikis or blogs …"
30,Context‐aware environments: from specification to implementation,38,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:W7OEmFMy1HYC,"This paper deals with the problem of implementing a context model for a smart environment. The problem has already been addressed several times using many different data‐ or problem‐driven methods. In order to separate the modelling phase from implementation, we first represent the context model by a network of situations. Then, different implementations can be automatically generated from this context model depending on user needs and underlying perceptual components. Two different implementations are proposed in this paper: a deterministic one based on Petri nets and a probabilistic one based on hidden Markov models. Both implementations are illustrated and applied to real‐world problems."
