Rank,Title,Citations,Year,URL,Description
22,FCJ-142 Spectacles and tropes: Speculative design and contemporary food cultures,137,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:abG-DnoFyZgC,"Speculative design is a practice of creating imaginative projections of alternate presents and possible futures using design representations and objects. At times critical and at other times whimsical, it is a distinctive, if loose, grouping of projects. Using the term broadly, speculative design covers a range of work across disciplines, fields, and historical and contemporary movements. For example, much of the work of the Futurists and Constructivists in the early Twentieth Century, which blended machines, politics, and everyday life, is suggestive of speculative design as it is practiced today. Collectives such as Archigram and Superstudio in the 1960s and 70s produced now iconic graphic representations of future cities, which stylistically and thematically inspired generations of architects and designers. In the late 1990s Tony Dunne and Fiona Raby coined the term ‘Critical Design’to label product and interaction design that sought to ‘challenge narrow assumptions, preconceptions and givens about the role products play in everyday life.’(2007) More recently, the term ‘Design Fiction’has been used to characterize the ‘use of diegetic prototypes to suspend disbelief about change.’(Sterling, 2012, see also Bleeker, 2009) All of these, I maintain, can broadly be considered as kinds of speculative design because what is common across this work is the use of designerly means to express foresight in compelling, often provocative ways, which are intended to engage audiences in considerations of what might be. As Anne Balsamo points out, design is not only inventive, it also reproduces culture:‘Through the practices of designing, cultural beliefs are …"
23,Institutional constraints: the forms and limits of participatory design in the public realm,128,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:738O_yMBCRsC,"In recent years, participatory design (PD) has increasingly occurred in the context of various public, private, governmental, and non-governmental institutions operating in the public realm. This context has led some to call for more direct attention to the ways institutions frame PD, particularly the practice and process of encouraging institutional change (i.e. institutioning). Building on this work, we introduce the idea of institutional constraints as particular interactions between PD practices and institutional frames. Using the concepts of thinging, infrastructuring, and commoning as analytical lenses on three empirical cases found within so-called smart city efforts, we identify, name, and describe three provisional institutional constraints---the sandbox, the administrative gap, and the ideological mismatch. These institutional constraints provide concrete articulations of PD's form within neoliberalization---a form marked by …"
24,Designing speculative civics,111,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:D03iK_w7-QYC,"As human computer interaction design research continues to expand domains, civics is emerging as an important subject through which to explore how computation shapes our public lives. In this paper we present and reflect upon a series of research through design (RtD) projects that investigate speculative civic contexts. From this, we identify and discuss tactics that can be employed in RtD projects: RtD as Representations of Systems Yet-to-Come, RtD as Prototyping Systems and RtD as Use of a System. Then we identify and discuss thematic interpretations of civics that emerged through our designs: Mediated Civics, Computed Civics, and Proxied Civics. This work contributes to discourses of speculative design, research through design, and those of civics in human computer interaction design research."
25,"On the relationship between emotion, experience and the design of new products",110,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:ZeXyd9-uunAC,"As people become more sensitive to dimensions of products that go beyond traditional aspects of usability, the need to understand emotion and experience and their implications for product design increases. This paper presents an approach to emotion and experience that is useful for designers. We present three prominent approaches to emotion and experience expressed by Dewey, a philosopher, Carlson, a cognitive scientist, and Csikszentmihalyi, a social scientist. We synthesize commonalities and differences in this work into a generative framework that is meant to help designers discover product opportunities to stimulate, enhance, or change emotional experience."
26,Culture in action: Unpacking capacities to inform assets-based design,100,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:Y5dfb0dijaUC,"The field of Human-Computer Interaction (HCI) aims at securing a lasting impact for technology-based interventions in the context of social inequities. Increasingly, HCI scholars are proposing assets-based design as an effective approach towards this issue. Rather than starting from people's needs and deficits, this approach posits that design should start from a deep understanding of people's assets. A pending issue, however, is how to account for the situated nature of assets; that is, how to decide which asset to leverage and for what design purpose. Drawing from cultural sociology and shifting the emphasis from assets to capacities, we propose Swidler's theory of culture-in-action as an analytical lens for unpacking the complex relationship between capacities, goals, and structural limitations. Leveraging findings from a Participatory Design engagement with 35 Latino immigrant parents for envisioning parent …"
27,Nourishing the ground for sustainable HCI: considerations from ecologically engaged art,100,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:8k81kl-MbHgC,"Sustainable HCI is now a recognized area of human-computer interaction drawing from a variety of disciplinary approaches, including the arts. How might HCI researchers working on sustainability productively understand the discourses and practices of ecologically engaged art as a means of enriching their own activities? We argue that an understanding of both the history of ecologically engaged art, and the art-historical and critical discourses surrounding it, provide a fruitful entry-point into a more critically aware sustainable HCI. We illustrate this through a consideration of frameworks from the arts, looking specifically at how these frameworks act more as generative devices than prescriptive recipes. Taking artistic influences seriously will require a concomitant rethinking of sustainable HCI standpoints - a potentially useful exercise for HCI research in general."
28,Critical making as materializing the politics of design,98,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:HoB7MX3m0LUC,"The notion of “critical making” suggests a new form of design, through which the political qualities of an issue are materialized by participatory means. In this essay I trace and describe this process through the Growbot Garden project—a design project directed at reimagining agricultural technologies to support small-scale agriculture. Through a discussion of this project I draw out the ways that politics were actively projected onto and through artifacts by the participants. In effect, these artifacts were a material expression of their desires and commitments. By creating these artifacts, the participants enacted a novel mode of “doing” political design as a collaborative and public endeavor of articulation."
29,Speculative design and technological fluency,95,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:4fKUyHm3Qg0C,"This article presents speculative design as a means to technological fluency. We identify six areas of connection between speculative design and technological fluency and elaborate on them through an evaluation of speculative design projects. Next, we outline the application of a speculative design approach to technological fluency by providing examples from recent and ongoing technological fluency programs. We conclude by using a speculative design approach to extend the idea of technological fluency in new directions, broadening common understandings of the development of technology and adding a dimension of criticality."
30,The collective articulation of issues as design practice,90,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:fPk4N6BV_jEC,"In this paper we discuss one practice of social design and social innovation by which designers and participants work together to reveal the factors, relations and consequences of an issue. We refer to this as the collective articulation of issues. Within the context of social design and social innovation the articulation of issues takes on a distinctive character and can be manifested through a wider range of design engagements than previously considered. To support our discussion we analyse two design engagements from the growBot Garden project, a research project exploring technologies for small-scale agriculture. Through this analysis we identify the qualities of the event and pluralism as central to the collective articulation of issues. We argue that the collective articulation of issues is a foundational practice of social design and social innovation, comprising an outcome and purpose in its own right."
31,Collaborative data work towards a caring democracy,86,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:t6usbXjVLHcC,"Researchers in human-centered computing have surfaced a feminist ethic of care in interaction with technologies, in data collection, and in data work. Drawing on two years of ethnographic fieldwork, we consider how democratic caring might be enacted and sustained through collaborative data work. We employ philosopher Joan Tronto's theory of caring democracy to structure our analysis of a resident-led initiative that uses data to organize and address issues of neglect and abandonment in their neighborhood. Adding to the CSCW literature on sociotechnical systems of care, we look particularly at Tronto's concept of caring democracy where caring needs and the ways in which they are met are an ongoing and inclusive process of assigning and reassigning caring responsibilities, characterized by both equality of voice and freedom from domination. This work develops grounded insight into the practice of …"
