name,google_scholar_url
Sehoon Ha,https://scholar.google.com/citations?user=Q6F3O0sAAAAJ&hl=en
Simon Pak Ho Chung,https://scholar.google.com/citations?user=qGeaSCYAAAAJ&hl=en
Thad Starner,https://scholar.google.com/citations?user=qr8Vo9IAAAAJ&hl=en
W. Keith Edwards,https://scholar.google.com/citations?user=QYqwwwcAAAAJ&hl=en
Joseph Jaeger,https://scholar.google.com/citations?user=r9K3MQwAAAAJ&hl=en
Joy Arulraj,https://scholar.google.com/citations?user=rp8dOfAAAAAJ&hl=en
Naveena Karusala,https://scholar.google.com/citations?user=S3yqENkAAAAJ&hl=en
Will Powell,https://scholar.google.com/citations?user=s7kve5EAAAAJ&hl=en
Constantine Dovrolis,https://scholar.google.com/citations?user=sfuwsSwAAAAJ&hl=en
Michael Donald Bailey,https://scholar.google.com/citations?user=sMnocAYAAAAJ&hl=en
Kai Wang,https://scholar.google.com/citations?user=spWVns8AAAAJ&hl=en
Cindy Lin Kaiying,https://scholar.google.com/citations?user=stSffQ8AAAAJ&hl=en
Rosa I. Arriaga,https://scholar.google.com/citations?user=TaR3dq4AAAAJ&hl=en
Jacob Laurel,https://scholar.google.com/citations?user=tasR7iIAAAAJ&hl=en
Keith Adkins,https://scholar.google.com/citations?user=tHiVW30AAAAJ&hl=en
Zvi Galil,https://scholar.google.com/citations?user=tI3m7CMAAAAJ&hl=en
Bo Dai,https://scholar.google.com/citations?user=TIKl_foAAAAJ&hl=en
Nicholas Lytle,https://scholar.google.com/citations?user=U-Dk-1QAAAAJ&hl=en
Qirun Zhang,https://scholar.google.com/citations?user=u0TKjhIAAAAJ&hl=en
Alan Ritter,https://scholar.google.com/citations?user=unXtH3IAAAAJ&hl=en
Calton Pu,https://scholar.google.com/citations?user=Vbv-JEwAAAAJ&hl=en
Ling Liu,https://scholar.google.com/citations?user=VIwtdckAAAAJ&hl=en
James Hays,https://scholar.google.com/citations?user=vjZrDKQAAAAJ&hl=en
Ketan Bhardwaj,https://scholar.google.com/citations?user=vlV_GoEAAAAJ&hl=en
Santosh Pande,https://scholar.google.com/citations?user=w55j5-8AAAAJ&hl=en
M. Mahdi Roozbahani,https://scholar.google.com/citations?user=W8oVUI8AAAAJ&hl=en
Amanda Meng,https://scholar.google.com/citations?user=WBRatTAAAAAJ&hl=en
Humphrey Shi,https://scholar.google.com/citations?user=WBvt5A8AAAAJ&hl=en
Vivek Sarkar,https://scholar.google.com/citations?user=XjeIqxYAAAAJ&hl=en
Mustaque Ahamad,https://scholar.google.com/citations?user=xkCYK58AAAAJ&hl=en
Irfan Essa,https://scholar.google.com/citations?user=XM97iScAAAAJ&hl=en
Bruce N. Walker,https://scholar.google.com/citations?user=xY3zIEAAAAAJ&hl=en
William Gelder,https://scholar.google.com/citations?user=Y67rbX0AAAAJ&hl=en
David A. Joyner,https://scholar.google.com/citations?user=yaCigtkAAAAJ&hl=en
Mark Riedl,https://scholar.google.com/citations?user=Yg_QjxcAAAAJ&hl=en
Srinivas Aluru,https://scholar.google.com/citations?user=YOGOScoAAAAJ&hl=en
Duen Horng Chau,https://scholar.google.com/citations?user=YON32W4AAAAJ&hl=en
Vijay Ganesh,https://scholar.google.com/citations?user=YP23eR0AAAAJ&hl=en
Carl DiSalvo (he / him),https://scholar.google.com/citations?user=YR1EmaAAAAAJ&hl=en
Ellen Zegura,https://scholar.google.com/citations?user=Z6EHuGcAAAAJ&hl=en
Oliver Brdiczka,https://scholar.google.com/citations?user=Z8yocGUAAAAJ&hl=en
Munmun De Choudhury,https://scholar.google.com/citations?user=Z9Pfp6UAAAAJ&hl=en
Helen Xu,https://scholar.google.com/citations?user=ZcguQt4AAAAJ&hl=en
Lynn Dombrowski,https://scholar.google.com/citations?user=ZCNrpS8AAAAJ&hl=en
Andrea G. Parker,https://scholar.google.com/citations?user=zh8E4voAAAAJ&hl=en
Pedro Guillermo Feijóo-García,https://scholar.google.com/citations?user=Zo_QX1wAAAAJ&hl=en
Animesh Garg,https://scholar.google.com/citations?user=zp8V7ZMAAAAJ&hl=en
Jessica Roberts,https://scholar.google.com/citations?user=ZRTiCX4AAAAJ&hl=en
Frank Dellaert,https://scholar.google.com/citations?user=ZxXBaswAAAAJ&hl=en
